id,text
1081,Problem with Yonyou software When opening a closed sales order it displays Cannot create a new link in manual or distributed transaction mode
1178,No sound from the phone
1271,fe10 The text on the copied paper is not clear
1452,The attendance system cannot enter please handle it. Thank you!
1700,The account is locked The user forgets the password which causes the account to be locked
1701,An error is displayed after entering the user name and password. After entering the user name and password when logging in the user name and password are displayed as incorrect
1704,Account is locked User account is locked request to unlock
1710,The product and the warehouse do not match the products warehouse has an error. st6p -100/+325 lot number 16-9-16
1711,Black screen after booting. After the computer starts the screen is blank and the host has no alarm
1954,Reinstall the system on my laptop Reinstall the system on my laptop
1955,There is a link file that cannot be opened. A link file cannot be opened indicating that the version is lower than 30
2004,If the computer login password is forgotten reset the password.
2980,hp2 hot pressing furnace data transmission card the data cannot be updated please help me to transfer it to Xiaohe
3007,After win8.1 system prompts to update all application software cannot be opened.
3010,Yonyou-Inventory account does not match with existing inventory. Yonyou-Inventory account does not match with existing inventory. Product code: 112001960200 inventory ledger 15kg inventory account 75kg
3120,Computer hard disk failure request repair.
3137,The mailbox cannot be activated. The mailbox cannot be activated indicating that the new stack protection page cannot be created.
3315,The computer system starts with a blue screen. The computer system starts with a blue screen. Water accidentally spilled into the computer.
3738,Telephone failure Telephone failure of casting rod workshop 39523850
3903,The computer cannot connect to the public disk please transfer it to Xiaohe for me
4028,The fax machine is not clear to Xiaohe: There is thick black ink on the fax machine please help to check it thank you
4054,ie browser problem can not open after searching the web
4090,The network address of the No. 4 plc controller communication module of the hot-pressing furnace was lost 5 times this year the network address was lost. The device needs to be restarted before it can be restored again. There is no such failure on other devices. Whether to bind the ip address?
4098,The computer accidentally entered water help deal with it! Please hand me in thank you
4501,Computer failure in the control room on the third floor of the powder milling The computer in the control room on the third floor of the powder mill cannot be turned on and the power indicator light flashes orange.
4502,Computer failure in the foundry shop The computer in the foundry shop that records production data cannot be turned on
4503,Yonyous regular backup failed. The server-side Yonyou system failed to back up in the last half month.
5146,Walkme loading failure After walkme is downloaded and installed the button cannot be displayed on the browser interface
5147,Computer startup failure. The computer starts blue screen in the raw material warehouse and the 3 and 4 indicator lights on the host panel alarm
5149,The machine cannot be turned on. The display system is broken.
5303,The tax filing computer cannot be connected to the Internet so He Zhengping rests.
5310,The ie browser cannot be opened.
5311,System failure start blue screen. System failure start blue screen.
5489,ie The browser homepage is changed to the hotel website address.
5761,The host cannot be turned on The host cannot be turned on the power light is normal and the indicators 1 3 on the panel of the host are always on
5913,I cant log in with my mailbox. I was prompted to change my password yesterday.
6102,All telephones of wgq dc cannot dial outside lines. All telephones of wgq dc cannot dial outside lines. 
6106,The computer cannot be turned on. The computer cannot be turned on at work in the morning.
6534,Telephone failure in coating and tube workshop Telephone failure in coating and tube workshop 40634943 39523835
6535,The network is not connected The network is not connected and the network icon in the lower right corner shows that it is not connected to the network.
7309,Restaurant TV cannot play video files. Restaurant TV cannot play video files. Please help with Xiaohe. Thank you!
7314,The power cord of the powder milling computer is damaged The power cord and network cable of the control room on the third floor of the powder milling computer are damaged due to high temperature and need to be replaced.
7317,Computer failure The operating system of the computer controlled by the tensile testing machine of the quality control department starts very slowly and the control software is lost.
7582,File cannot be printed by printer fe08
7588,The monitor does not light up The monitor does not display an image after turning it on this morning.
7941,The file cannot be printed to the printer indicating a printer error. prtSID_737--The file cannot be printed to the printer indicating a printer error.
7969,The online system provided by the customer cannot be opened. The online delivery note generation system provided by the customer cannot be opened and needs to be resolved as soon as possible.
8471,I cant turn on my computer to Xiaohe I cant turn on my computer this morning
